Image,Segment,Parameters,IoU
DSC_0562 2023-10-02 21_20_57.JPG,0,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.16109707306801432
DSC_0562 2023-10-02 21_20_57.JPG,1,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.23053070807865556
DSC_0562 2023-10-02 21_20_57.JPG,2,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.23712348635612374
DSC_0562 2023-10-02 21_20_57.JPG,3,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.15231552948440877
DSC_0562 2023-10-02 21_20_57.JPG,4,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.21320428115171758
DSC_0562 2023-10-02 21_20_57.JPG,all,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.198854215627784
DSC_0798 2023-10-05 12_04_19.JPG,0,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.6018835616438356
DSC_0798 2023-10-05 12_04_19.JPG,1,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.5092980542960455
DSC_0798 2023-10-05 12_04_19.JPG,2,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.5516901282166233
DSC_0798 2023-10-05 12_04_19.JPG,all,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.5542905813855015
DSC_1054 2023-10-02 21_37_15.JPG,0,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.3404527296937417
DSC_1054 2023-10-02 21_37_15.JPG,1,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.15989074180563542
DSC_1054 2023-10-02 21_37_15.JPG,all,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.25017173574968854
DSC_2307 2024-02-04 10_28_28.JPG,0,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.42651938526021654
DSC_2307 2024-02-04 10_28_28.JPG,1,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.3916292380460273
DSC_2307 2024-02-04 10_28_28.JPG,2,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.32150213912216763
DSC_2307 2024-02-04 10_28_28.JPG,3,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.11876460428731078
DSC_2307 2024-02-04 10_28_28.JPG,all,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.3146038416789306
DSC_2967 2024-01-31 19_38_10.JPG,0,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.600206024438761
DSC_2967 2024-01-31 19_38_10.JPG,1,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.36609187837304197
DSC_2967 2024-01-31 19_38_10.JPG,all,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.48314895140590153
Parion1.png,0,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.2998438022983376
Parion1.png,1,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.07895335608646188
Parion1.png,2,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.2862457809143909
Parion1.png,3,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.21821261073475767
Parion1.png,4,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.12539801460947744
Parion1.png,all,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.2017307129286851
Parion2.png,0,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.4953162992785108
Parion2.png,1,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.07400164027506151
Parion2.png,2,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.47806323101281983
Parion2.png,3,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.2913992297817715
Parion2.png,4,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.09190343055765453
Parion2.png,all,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.2861367661811637
Parion3.png,0,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.41495963008217734
Parion3.png,1,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.07827505244317853
Parion3.png,2,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.3877605044039082
Parion3.png,3,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.15749578310774673
Parion3.png,4,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.13154953068720168
Parion3.png,all,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.2340081001448425
test2.jpeg,0,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.2024373730534868
test2.jpeg,1,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.270703154127209
test2.jpeg,2,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.09684873297974629
test2.jpeg,3,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.14423076923076922
test2.jpeg,4,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.11537634738813991
test2.jpeg,all,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.16591927535587025
ALL_IMAGES,,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",nan
DSC_0562 2023-10-02 21_20_57.JPG,0,"{'K': 5, 'RADIUS': 65, 'TAU': 1.0, 'N_SUPERPIXELS': 225, 'N_KEYPOINTS': 8000, 'SIGMA': 2, 'W': 9, 'ALPHA': 1.1, 'ksize': 5, 'clipLimit': 3.0, 'tileGridSize': (8, 8), 'D': 7, 'GAMMA': 0.8, 'COMPACTNESS': 24, 'keypoints_detection_method': 'SIFT', 'sigma_color': 75, 'sigma_space': 50}",0.1370685754247398
DSC_0562 2023-10-02 21_20_57.JPG,1,"{'K': 5, 'RADIUS': 65, 'TAU': 1.0, 'N_SUPERPIXELS': 225, 'N_KEYPOINTS': 8000, 'SIGMA': 2, 'W': 9, 'ALPHA': 1.1, 'ksize': 5, 'clipLimit': 3.0, 'tileGridSize': (8, 8), 'D': 7, 'GAMMA': 0.8, 'COMPACTNESS': 24, 'keypoints_detection_method': 'SIFT', 'sigma_color': 75, 'sigma_space': 50}",0.32545620186069624
DSC_0562 2023-10-02 21_20_57.JPG,2,"{'K': 5, 'RADIUS': 65, 'TAU': 1.0, 'N_SUPERPIXELS': 225, 'N_KEYPOINTS': 8000, 'SIGMA': 2, 'W': 9, 'ALPHA': 1.1, 'ksize': 5, 'clipLimit': 3.0, 'tileGridSize': (8, 8), 'D': 7, 'GAMMA': 0.8, 'COMPACTNESS': 24, 'keypoints_detection_method': 'SIFT', 'sigma_color': 75, 'sigma_space': 50}",0.22955270804553898
DSC_0562 2023-10-02 21_20_57.JPG,3,"{'K': 5, 'RADIUS': 65, 'TAU': 1.0, 'N_SUPERPIXELS': 225, 'N_KEYPOINTS': 8000, 'SIGMA': 2, 'W': 9, 'ALPHA': 1.1, 'ksize': 5, 'clipLimit': 3.0, 'tileGridSize': (8, 8), 'D': 7, 'GAMMA': 0.8, 'COMPACTNESS': 24, 'keypoints_detection_method': 'SIFT', 'sigma_color': 75, 'sigma_space': 50}",0.08224567249838008
DSC_0562 2023-10-02 21_20_57.JPG,4,"{'K': 5, 'RADIUS': 65, 'TAU': 1.0, 'N_SUPERPIXELS': 225, 'N_KEYPOINTS': 8000, 'SIGMA': 2, 'W': 9, 'ALPHA': 1.1, 'ksize': 5, 'clipLimit': 3.0, 'tileGridSize': (8, 8), 'D': 7, 'GAMMA': 0.8, 'COMPACTNESS': 24, 'keypoints_detection_method': 'SIFT', 'sigma_color': 75, 'sigma_space': 50}",0.27428442641424383
DSC_0562 2023-10-02 21_20_57.JPG,all,"{'K': 5, 'RADIUS': 65, 'TAU': 1.0, 'N_SUPERPIXELS': 225, 'N_KEYPOINTS': 8000, 'SIGMA': 2, 'W': 9, 'ALPHA': 1.1, 'ksize': 5, 'clipLimit': 3.0, 'tileGridSize': (8, 8), 'D': 7, 'GAMMA': 0.8, 'COMPACTNESS': 24, 'keypoints_detection_method': 'SIFT', 'sigma_color': 75, 'sigma_space': 50}",0.20972151684871979
DSC_2967 2024-01-31 19_38_10.JPG,0,"{'K': 5, 'RADIUS': 65, 'TAU': 1.0, 'N_SUPERPIXELS': 225, 'N_KEYPOINTS': 8000, 'SIGMA': 2, 'W': 9, 'ALPHA': 1.1, 'ksize': 5, 'clipLimit': 3.0, 'tileGridSize': (8, 8), 'D': 7, 'GAMMA': 0.8, 'COMPACTNESS': 24, 'keypoints_detection_method': 'SIFT', 'sigma_color': 75, 'sigma_space': 50}",0.2629325681492109
DSC_2967 2024-01-31 19_38_10.JPG,1,"{'K': 5, 'RADIUS': 65, 'TAU': 1.0, 'N_SUPERPIXELS': 225, 'N_KEYPOINTS': 8000, 'SIGMA': 2, 'W': 9, 'ALPHA': 1.1, 'ksize': 5, 'clipLimit': 3.0, 'tileGridSize': (8, 8), 'D': 7, 'GAMMA': 0.8, 'COMPACTNESS': 24, 'keypoints_detection_method': 'SIFT', 'sigma_color': 75, 'sigma_space': 50}",0.13263996187225668
DSC_2967 2024-01-31 19_38_10.JPG,all,"{'K': 5, 'RADIUS': 65, 'TAU': 1.0, 'N_SUPERPIXELS': 225, 'N_KEYPOINTS': 8000, 'SIGMA': 2, 'W': 9, 'ALPHA': 1.1, 'ksize': 5, 'clipLimit': 3.0, 'tileGridSize': (8, 8), 'D': 7, 'GAMMA': 0.8, 'COMPACTNESS': 24, 'keypoints_detection_method': 'SIFT', 'sigma_color': 75, 'sigma_space': 50}",0.1977862650107338
ALL_IMAGES,,"{'K': 5, 'RADIUS': 65, 'TAU': 1.0, 'N_SUPERPIXELS': 225, 'N_KEYPOINTS': 8000, 'SIGMA': 2, 'W': 9, 'ALPHA': 1.1, 'ksize': 5, 'clipLimit': 3.0, 'tileGridSize': (8, 8), 'D': 7, 'GAMMA': 0.8, 'COMPACTNESS': 24, 'keypoints_detection_method': 'SIFT', 'sigma_color': 75, 'sigma_space': 50}",nan
DSC_0562 2023-10-02 21_20_57.JPG,0,"{'K': 7, 'RADIUS': 152, 'TAU': 1.5, 'N_SUPERPIXELS': 195, 'N_KEYPOINTS': 6000, 'SIGMA': 2, 'W': 13, 'ALPHA': 1.0, 'ksize': 5, 'clipLimit': 3.0, 'tileGridSize': (16, 16), 'D': 7, 'GAMMA': 0.7, 'COMPACTNESS': 23, 'keypoints_detection_method': 'canny', 'sigma_color': 50, 'sigma_space': 50}",0.17202389565289292
DSC_0562 2023-10-02 21_20_57.JPG,1,"{'K': 7, 'RADIUS': 152, 'TAU': 1.5, 'N_SUPERPIXELS': 195, 'N_KEYPOINTS': 6000, 'SIGMA': 2, 'W': 13, 'ALPHA': 1.0, 'ksize': 5, 'clipLimit': 3.0, 'tileGridSize': (16, 16), 'D': 7, 'GAMMA': 0.7, 'COMPACTNESS': 23, 'keypoints_detection_method': 'canny', 'sigma_color': 50, 'sigma_space': 50}",0.396151676148385
DSC_0562 2023-10-02 21_20_57.JPG,2,"{'K': 7, 'RADIUS': 152, 'TAU': 1.5, 'N_SUPERPIXELS': 195, 'N_KEYPOINTS': 6000, 'SIGMA': 2, 'W': 13, 'ALPHA': 1.0, 'ksize': 5, 'clipLimit': 3.0, 'tileGridSize': (16, 16), 'D': 7, 'GAMMA': 0.7, 'COMPACTNESS': 23, 'keypoints_detection_method': 'canny', 'sigma_color': 50, 'sigma_space': 50}",0.2565752371186875
